Keuwl Accelerometer Data File
2019-06-26 17-08-48

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
3.2800279,5.272032,8.015787,-0.349553,9.600488,92.086601,56.666836
3.2922540,5.115212,7.850587,-0.223858,9.372685,91.368584,56.912918
3.3058610,5.908890,8.579621,-0.372298,10.424178,92.046745,55.444344
3.3199558,6.953959,9.307459,-2.042254,11.796488,99.969498,53.235184
3.3299608,7.643489,9.576807,-2.862268,12.582954,103.148277,51.405758
3.3400619,7.097611,8.425196,0.300472,11.020449,88.437637,49.888313
3.3497710,6.842628,6.836643,1.352724,9.766837,82.038841,44.974930
3.3597617,6.629545,4.893748,0.180762,8.242106,88.743317,36.433727
3.3696680,6.958747,3.823540,-1.777695,8.136574,102.619888,28.786949
3.3797150,7.320271,3.367445,-2.117671,8.331303,104.725151,24.703205
3.3897829,7.443573,3.090914,-2.078167,8.323420,104.458405,22.550476
3.3997889,7.341819,3.039439,-2.813187,8.429384,109.495682,22.489061
3.4102058,6.834249,3.454833,-2.858677,8.174036,110.470589,26.817400
3.4197700,5.872977,4.364630,-2.296039,7.669005,107.421097,36.618683
3.4297678,5.003881,5.770026,-2.036268,7.904329,104.928551,49.067520
3.4398189,3.925294,7.542933,-2.334347,8.817762,105.351051,62.507820
3.4501059,1.941698,9.360131,-1.989582,9.764256,101.757019,78.280586
3.4604008,-0.043096,10.864887,-2.585738,11.168423,103.386711,90.227264
3.4701738,-1.060631,12.087128,-3.323152,12.580419,105.316612,95.014793
3.4801557,-0.602142,13.454216,-3.872621,14.013412,106.042542,92.562553
3.4904308,1.697489,16.885107,2.689886,17.182077,80.993195,84.259247
3.5004218,1.589750,17.554287,5.402516,18.435495,72.959373,84.825302
3.5100589,0.702698,16.832436,5.269638,17.652018,72.630730,87.609482
3.5212669,-0.611719,14.604630,2.577358,14.842917,80.000343,92.398445
3.5322809,-1.883040,12.162544,0.191536,12.308940,89.108398,98.800819
3.5499599,-2.463634,9.564836,-2.379837,10.159684,103.547012,104.443832
3.5608377,-1.382651,8.825027,-3.397372,9.556933,110.823341,98.904366
3.5700779,0.191536,8.305486,-3.776853,9.125919,114.447548,88.678917
3.5800169,1.861492,8.134300,-3.533842,9.062010,112.952148,77.110115
3.5899298,3.440468,8.227674,-2.885013,9.373087,107.926552,67.307365
3.5997968,4.769250,8.452729,-2.072181,9.924128,102.052177,60.567177
3.6106138,5.635951,8.573636,-1.234211,10.334140,96.859230,56.680752
3.6203048,6.033388,8.531737,-0.512359,10.462066,92.807068,54.733200
3.6306298,6.016629,8.408437,0.101754,10.339826,89.436150,54.414513
3.6398520,5.773617,8.329428,0.584185,10.151615,86.701035,55.271889
3.6508019,5.523423,8.425196,0.882263,10.112888,84.995071,56.751793
3.6602738,5.281609,8.708909,1.183933,10.253886,83.369736,58.764843
3.6707630,5.076905,9.120711,1.337162,10.523799,82.700226,60.898167
3.6799448,4.880580,9.497798,1.339556,10.762093,82.849861,62.802982
3.6899021,4.701015,9.695320,1.201889,10.841739,83.635246,64.132431
