Keuwl Accelerometer Data File
2019-06-26 17-45-19

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.2201278,5.270835,7.005434,-0.482432,8.780122,93.149757,53.042477
2.2301869,5.347449,7.290344,-0.439336,9.051926,92.781952,53.740047
2.2400858,5.550957,7.650671,-0.326809,9.457944,91.980186,54.037178
2.2503738,5.699397,7.927202,-0.167594,9.764822,90.983421,54.285110
2.2604070,5.723339,8.094796,-0.167594,9.915161,90.968506,54.738186
2.2702219,5.613206,8.140285,-0.004788,9.887990,90.027748,55.411453
2.2802119,5.307945,8.269572,0.275333,9.830357,88.395020,57.305035
2.2902288,5.069722,8.364143,0.124498,9.781436,89.270714,58.778870
2.3001468,4.817134,8.440758,-0.003591,9.718600,90.021172,60.286633
2.3104088,4.586093,8.578424,0.064643,9.727579,89.619247,61.870689
2.3206630,4.481946,8.781932,-0.087388,9.859909,90.507820,62.962059
2.3308029,4.357447,8.960299,-0.165200,9.965018,90.949890,64.066071
2.3401890,4.180276,9.068039,-0.318429,9.990267,91.826553,65.250763
2.3503218,4.048595,9.142260,-0.541090,10.013231,93.097626,66.114128
2.3604600,3.948039,9.150639,-0.617704,9.985126,93.546722,66.662239
2.3701560,3.815161,9.077616,-0.679953,9.870202,93.950203,67.203850
2.3801060,3.711013,8.965088,-0.684742,9.726936,94.036758,67.513359
2.3902562,3.673903,8.912416,-0.548272,9.655533,93.255188,67.597420
2.4004500,3.836708,8.993818,-0.549469,9.793417,93.216324,66.897202
2.4107258,4.249708,9.566033,0.700304,10.490922,86.172470,66.046822
2.4204779,4.570531,9.102755,-0.677559,10.208280,93.805717,63.338581
2.4307687,4.752491,9.107543,-0.699107,10.296711,93.893158,62.443584
2.4406278,4.645948,9.108741,-0.372298,10.231940,92.085220,62.975971
2.4502339,4.304775,8.755595,-0.608127,9.775549,93.566620,63.818508
2.4607019,3.902549,8.470686,-0.523133,9.341096,93.210442,65.263901
2.4701800,3.772065,8.359355,-0.378284,9.178801,92.361984,65.713264
2.4802361,3.776853,8.413225,-0.296881,9.226869,91.843849,65.823807
2.4904199,3.793612,8.694544,-0.271742,9.490018,91.640862,66.427345
2.5001888,4.182671,8.887277,-0.559046,9.838240,93.257515,64.796646
2.5106108,4.563348,9.047688,-0.434548,10.142665,92.455505,63.235168
2.5209000,4.686650,9.216479,-0.499191,10.351685,92.764053,63.046318
2.5301399,4.581305,9.198523,-0.533907,10.290104,92.974152,63.524494
2.5400479,4.588488,9.005790,-0.222661,10.109799,91.262001,63.000965
2.5501819,4.661511,8.901642,-0.010774,10.048334,90.061432,62.360359
2.5601058,4.599261,8.992621,-0.089783,10.100916,90.509285,62.912601
2.5701959,4.423288,9.070433,-0.542287,10.106052,93.075943,64.003357
2.5803010,4.528633,8.890868,-0.131681,9.978647,90.756111,63.007629
2.5902560,4.808754,8.811859,0.186748,10.040312,88.934250,61.378090
