Keuwl Accelerometer Data File
2019-06-27 16-05-18

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.6999240,0.651223,8.313866,5.384560,9.926627,57.150383,85.521179
2.7099140,0.670376,8.382100,5.382165,9.983823,57.378384,85.427383
2.7203908,0.687136,8.456321,5.368997,10.040301,57.673405,85.354515
2.7298629,0.664391,8.482656,5.355829,10.053944,57.811306,85.521538
2.7399769,0.584185,8.427590,5.347449,9.998038,57.666271,86.034706
2.7503049,0.488417,8.362947,5.316325,9.921730,57.600029,86.657578
2.7602518,0.435745,8.307879,5.288792,9.858096,57.554836,86.997612
2.7698638,0.471658,8.319851,5.243302,9.845536,57.821667,86.755341
2.7799139,0.542287,8.359355,5.208586,9.864190,58.127571,86.288315
2.7900209,0.633266,8.423999,5.183447,9.911251,58.467232,85.700928
2.8001101,0.673968,8.464700,5.157111,9.934846,58.728558,85.447655
2.8098660,0.676362,8.506598,5.164293,9.974448,58.818401,85.453964
2.8200030,0.660800,8.507795,5.179855,9.982491,58.741905,85.558762
2.8299189,0.617704,8.499416,5.222951,9.995042,58.496265,85.843277
2.8405919,0.572214,8.431181,5.282806,9.965956,57.988789,86.117355
2.8498969,0.489614,8.322245,5.282806,9.869525,57.638153,86.633057
2.8605618,0.452504,8.210915,5.239710,9.750817,57.495819,86.845619
2.8699677,0.484826,8.226477,5.215768,9.752651,57.669300,86.627182
2.8802359,0.533907,8.293514,5.181053,9.793403,58.059727,86.316582
2.8898749,0.593762,8.378509,5.147533,9.851348,58.498512,85.946381
2.8998928,0.638055,8.437167,5.129577,9.894719,58.773964,85.675278
2.9100468,0.618901,8.439561,5.131971,9.896785,58.765003,85.805817
2.9199319,0.545878,8.385692,5.115212,9.837846,58.670940,86.275505
2.9299250,0.488417,8.305486,5.135562,9.777200,58.314320,86.634506
2.9400890,0.436942,8.238448,5.116409,9.707759,58.194107,86.964050
2.9499459,0.422577,8.237251,5.100847,9.697913,58.266186,87.063263
2.9601510,0.472855,8.277952,5.069722,9.718548,58.556717,86.730690
2.9704278,0.526724,8.346188,5.061342,9.775146,58.816769,86.388878
2.9798467,0.575805,8.416816,5.033809,9.824132,59.176689,86.086418
2.9898779,0.615310,8.462306,5.033809,9.865520,59.320004,85.841240
2.9998479,0.635661,8.449138,5.055357,9.866541,59.177921,85.697525
3.0099089,0.586579,8.390480,5.093664,9.833090,58.800968,86.000954
3.0202439,0.527921,8.293514,5.121197,9.761544,58.356674,86.357765
3.0299678,0.502782,8.209718,5.143942,9.701155,57.978313,86.495453
3.0399148,0.492008,8.190564,5.142745,9.683762,57.922295,86.562363
3.0499787,0.497994,8.262390,5.139154,9.742997,58.165226,86.550819
3.0599339,0.537498,8.457518,5.096058,9.888798,58.980049,86.363586
3.0706470,0.636858,8.646660,5.082890,10.050179,59.618771,85.787567
3.0802569,0.696713,8.747216,5.094861,10.146764,59.859852,85.446022
3.0901709,0.642843,8.681376,5.158308,10.118679,59.350777,85.765060
3.1000979,0.501585,8.517372,5.226542,10.005696,58.509533,86.629761
3.1100640,0.378284,8.340201,5.299565,9.888754,57.593784,87.403030
3.1200409,0.325611,8.261193,5.300763,9.820969,57.334106,87.742882
3.1302669,0.347159,8.274361,5.297171,9.830849,57.395870,87.597504
3.1401110,0.409408,8.394072,5.251681,9.910006,57.998783,87.207695
3.1505289,0.465672,8.543709,5.189432,10.007098,58.763279,86.880196
3.1600718,0.506374,8.680179,5.147533,10.104406,59.373829,86.661331
3.1700118,0.502782,8.753201,5.136760,10.161576,59.634907,86.712555
3.1800849,0.442927,8.766370,5.158308,10.181040,59.558510,87.107552
3.1901879,0.356736,8.741230,5.191826,10.173074,59.312866,87.663017
3.2001121,0.289698,8.696938,5.194221,10.134130,59.166351,88.092163
3.2100809,0.240617,8.637083,5.194221,10.081519,58.987705,88.404228
3.2200460,0.223858,8.582016,5.159505,10.016068,58.994335,88.505806
3.2300768,0.245406,8.565256,5.111620,9.977600,59.182205,88.358849
3.2403309,0.247800,8.590396,5.056554,9.971210,59.528126,88.347694
3.2500238,0.245406,8.676587,4.984728,10.009541,60.132385,88.379898
3.2601588,0.260968,8.760384,4.924873,10.053199,60.667229,88.293686
3.2700610,0.238223,8.736442,4.886566,10.013025,60.789417,88.438057
3.2800980,0.207098,8.617929,4.859032,9.895544,60.591545,88.623383
3.2913399,0.149638,8.451532,4.854244,9.747537,60.132431,88.985664
3.3002291,0.125696,8.374918,4.855441,9.681444,59.899364,89.140137
3.3104939,0.171185,8.394072,4.837484,9.689736,60.050404,88.831696
3.3215129,0.238223,8.477868,4.836287,9.763230,60.306686,88.390450
3.3301849,0.296881,8.552089,4.831499,9.826990,60.550514,88.011810
3.3403399,0.365116,8.583213,4.826711,9.854033,60.671196,87.564201
3.3503170,0.398635,8.564059,4.867412,9.858687,60.414745,87.334953
3.3605497,0.399832,8.495825,4.922479,9.826988,59.939495,87.305527
3.3711810,0.344765,8.341399,5.030218,9.746840,58.929859,87.633209
3.3809769,0.372298,8.341399,5.024232,9.744765,58.963589,87.444435
3.3901141,0.372298,8.298303,5.024232,9.707901,58.832577,87.431183
3.4011729,0.423774,8.276755,5.029021,9.694086,58.750080,87.068993
3.4109590,0.499191,8.327033,4.995502,9.723359,59.085190,86.569321
3.4209337,0.562637,8.394072,4.991910,9.782442,59.316658,86.165314
3.4307740,0.592565,8.474277,5.023035,9.868910,59.404377,86.000099
3.4405088,0.602142,8.529344,5.055357,9.933223,59.407135,85.961815
3.4512849,0.599748,8.526949,5.106832,9.957323,59.144680,85.976700
3.4601951,0.581791,8.462306,5.164293,9.930712,58.665565,86.067055
3.4701087,0.547075,8.355764,5.214571,9.864575,58.088017,86.254036
3.4804730,0.536301,8.287529,5.240908,9.820278,57.745411,86.297447
3.4904659,0.544681,8.234857,5.251681,9.782111,57.529465,86.215775
3.5003419,0.582988,8.244433,5.225345,9.778281,57.697937,85.955177
3.5113409,0.638055,8.289924,5.200206,9.806737,57.976383,85.598763
3.5211818,0.691924,8.334216,5.206192,9.851007,58.096291,85.254066
3.5306599,0.703895,8.355764,5.218163,9.876410,58.106228,85.184731
3.5403919,0.660800,8.265982,5.230134,9.803948,57.759644,85.429375
3.5502999,0.630872,8.173804,5.245696,9.732749,57.386196,85.586533
3.5600817,0.608127,8.160637,5.246893,9.720890,57.333080,85.738220
3.5701361,0.661997,8.227674,5.237316,9.775599,57.604942,85.399902
3.5810869,0.697910,8.319851,5.204995,9.838647,58.059681,85.204979
3.5903358,0.646434,8.431181,5.209783,9.931995,58.362354,85.615601
3.6001368,0.616507,8.534132,5.176264,10.000260,58.827732,85.868118
3.6101239,0.587777,8.572439,5.152322,10.018913,59.052025,86.077606
3.6210449,0.533907,8.520964,5.124789,9.957677,59.025463,86.414642
3.6316299,0.483629,8.409634,5.096058,9.845082,58.826942,86.708611
3.6409039,0.464475,8.285135,5.080496,9.729884,58.523167,86.791283
3.6504350,0.475249,8.192958,5.062540,9.642599,58.330536,86.680161
3.6601777,0.543484,8.149862,5.027823,9.591383,58.385456,86.184807
3.6716709,0.635661,8.161834,4.990714,9.587848,58.632530,85.546677
3.6803241,0.691924,8.227674,4.970363,9.637318,58.952984,85.192894
3.6901178,0.693121,8.341399,4.970363,9.734674,59.297302,85.249969
3.7014248,0.604536,8.485051,4.982334,9.858255,59.642284,85.924721
3.7105949,0.496797,8.627506,5.018247,9.993172,59.856491,86.704384
3.7206740,0.407014,8.767567,5.003881,10.103203,60.312000,87.342079
3.7311568,0.399832,8.805874,4.985925,10.127326,60.506557,87.400261
3.7408187,0.393846,8.716091,5.003881,10.058041,60.165218,87.412788
3.7508309,0.391452,8.574833,5.046977,9.957559,59.545841,87.386192
3.7606540,0.445322,8.443152,5.087678,9.867603,58.962826,86.980820
