Keuwl Accelerometer Data File
2019-06-26 16-16-02

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.3300169,5.991490,7.879318,0.266953,9.902164,88.455170,52.750381
2.3400409,5.978322,7.885303,0.250194,9.898532,88.551643,52.832050
2.3503261,5.951985,7.886500,0.231040,9.883137,88.660461,52.957943
2.3600969,5.959168,7.888895,0.234632,9.889459,88.640503,52.933079
2.3700008,5.987898,7.908048,0.219069,9.921700,88.734818,52.867344
2.3800728,5.990293,7.927202,0.227449,9.938605,88.688644,52.923012
2.3906729,6.001067,7.923611,0.238223,9.942492,88.627060,52.860981
2.4004788,5.996278,7.870938,0.253785,9.898052,88.530777,52.698940
2.4103601,5.957971,7.821857,0.269348,9.836229,88.430862,52.703186
2.4206798,5.904101,7.806294,0.264559,9.791151,88.451668,52.898846
2.4307530,5.899313,7.833828,0.228646,9.809334,88.664368,53.018196
2.4403398,5.922058,7.878121,0.186748,9.857507,88.914482,53.067467
2.4506180,5.941212,7.955932,0.140061,9.930482,89.191864,53.248909
2.4607930,5.984307,7.979874,0.096965,9.974955,89.443024,53.132851
2.4702110,5.961562,7.963115,0.117316,9.948125,89.324310,53.179749
2.4800889,5.972336,7.922413,0.165200,9.922738,89.046059,52.989071
2.4905000,5.975927,7.857770,0.210690,9.874241,88.777367,52.746578
2.5002959,5.946000,7.789535,0.281319,9.803617,88.355652,52.644352
2.5099950,5.914876,7.740454,0.289698,9.745989,88.296638,52.614712
2.5199900,5.912481,7.710526,0.281319,9.720534,88.341591,52.518776
2.5305011,5.926847,7.735666,0.260968,9.748648,88.466026,52.541695
2.5401170,5.929241,7.794323,0.219069,9.795681,88.718536,52.739292
2.5502219,5.951985,7.867347,0.135272,9.866082,89.214401,52.890930
2.5601258,5.912481,7.946355,0.147243,9.905740,89.148300,53.348927
2.5704379,5.881356,7.981071,0.120907,9.914761,89.301277,53.613010
2.5799820,5.888539,7.964312,0.120907,9.905543,89.300629,53.522049
2.5906780,5.869385,7.911640,0.149638,9.852214,89.129745,53.429497
